# SpotBugs LOW-confidence reviewed inventory.
# Format: type|priority|class|method|methodDescriptor|field|fieldDescriptor|count
# Every change requires review against documentation/StaticAnalysis.md.
EI_EXPOSE_REP|2|com.googlecode.cqengine.index.radixinverted.InvertedRadixTreeIndex$3|getQueryOptions|()Lcom/googlecode/cqengine/query/option/QueryOptions;|val$queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.index.radixinverted.InvertedRadixTreeIndex$4|getQueryOptions|()Lcom/googlecode/cqengine/query/option/QueryOptions;|val$queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.index.radixinverted.InvertedRadixTreeIndex$6|getQueryOptions|()Lcom/googlecode/cqengine/query/option/QueryOptions;|val$queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.index.radixreversed.ReversedRadixTreeIndex$2|getQueryOptions|()Lcom/googlecode/cqengine/query/option/QueryOptions;|val$queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.index.radixreversed.ReversedRadixTreeIndex$4|getQueryOptions|()Lcom/googlecode/cqengine/query/option/QueryOptions;|val$queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.index.sqlite.SQLiteIndex$2|getQueryOptions|()Lcom/googlecode/cqengine/query/option/QueryOptions;|val$queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.index.sqlite.SQLiteIndex$3|getQueryOptions|()Lcom/googlecode/cqengine/query/option/QueryOptions;|val$queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.index.sqlite.SimpleConnectionManager|getConnection|(Lcom/googlecode/cqengine/index/Index;Lcom/googlecode/cqengine/query/option/QueryOptions;)Ljava/sql/Connection;|connection|Ljava/sql/Connection;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.index.standingquery.StandingQueryIndex|retrieve|(Lcom/googlecode/cqengine/query/Query;Lcom/googlecode/cqengine/query/option/QueryOptions;)Lcom/googlecode/cqengine/resultset/ResultSet;|storedResultSet|Lcom/googlecode/cqengine/resultset/stored/StoredResultSet;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.index.suffix.SuffixTreeIndex$2|getQueryOptions|()Lcom/googlecode/cqengine/query/option/QueryOptions;|val$queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.index.suffix.SuffixTreeIndex$3|getQueryOptions|()Lcom/googlecode/cqengine/query/option/QueryOptions;|val$queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.index.suffix.SuffixTreeIndex$5|getQueryOptions|()Lcom/googlecode/cqengine/query/option/QueryOptions;|val$queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.index.unique.UniqueIndex$3|getQueryOptions|()Lcom/googlecode/cqengine/query/option/QueryOptions;|val$queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.persistence.support.CollectionWrappingObjectStore|getBackingCollection|()Ljava/util/Collection;|backingCollection|Ljava/util/Collection;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.persistence.support.ObjectStoreResultSet|getQueryOptions|()Lcom/googlecode/cqengine/query/option/QueryOptions;|queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.persistence.support.sqlite.SQLiteObjectStore|getBackingIndex|()Lcom/googlecode/cqengine/index/sqlite/SQLiteIdentityIndex;|backingIndex|Lcom/googlecode/cqengine/index/sqlite/SQLiteIdentityIndex;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.query.option.QueryOptions|getOptions|()Ljava/util/Map;|options|Ljava/util/Map;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.query.parser.common.ParseResult|getQueryOptions|()Lcom/googlecode/cqengine/query/option/QueryOptions;|queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.resultset.closeable.CloseableResultSet|getQueryOptions|()Lcom/googlecode/cqengine/query/option/QueryOptions;|queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.resultset.common.IteratorCachingResultSet|iterator|()Ljava/util/Iterator;|cachedIterator|Ljava/util/Iterator;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.resultset.connective.ResultSetDifference|getQueryOptions|()Lcom/googlecode/cqengine/query/option/QueryOptions;|queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.resultset.connective.ResultSetIntersection|getQueryOptions|()Lcom/googlecode/cqengine/query/option/QueryOptions;|queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.resultset.connective.ResultSetUnionAll|getQueryOptions|()Lcom/googlecode/cqengine/query/option/QueryOptions;|queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.resultset.connective.ResultSetUnion|getQueryOptions|()Lcom/googlecode/cqengine/query/option/QueryOptions;|queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.resultset.filter.DeduplicatingResultSet|getQueryOptions|()Lcom/googlecode/cqengine/query/option/QueryOptions;|queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.resultset.filter.FilteringResultSet|getQueryOptions|()Lcom/googlecode/cqengine/query/option/QueryOptions;|queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EQ_DOESNT_OVERRIDE_EQUALS|2|com.googlecode.cqengine.ObjectLockingIndexedCollection|equals|(Ljava/lang/Object;)Z|||1
EQ_DOESNT_OVERRIDE_EQUALS|2|com.googlecode.cqengine.TransactionalIndexedCollection|equals|(Ljava/lang/Object;)Z|||1
HE_EQUALS_NO_HASHCODE|2|com.googlecode.cqengine.entity.PrimaryKeyedMapEntity|equals|(Ljava/lang/Object;)Z|||1
HE_EQUALS_NO_HASHCODE|2|com.googlecode.cqengine.query.comparative.LongestPrefix|equals|(Ljava/lang/Object;)Z|||1
HE_EQUALS_NO_HASHCODE|2|com.googlecode.cqengine.query.logical.Not|equals|(Ljava/lang/Object;)Z|||1
HE_EQUALS_NO_HASHCODE|2|com.googlecode.cqengine.query.logical.Or|equals|(Ljava/lang/Object;)Z|||1
HE_EQUALS_NO_HASHCODE|2|com.googlecode.cqengine.query.simple.All|equals|(Ljava/lang/Object;)Z|||1
HE_EQUALS_NO_HASHCODE|2|com.googlecode.cqengine.query.simple.Between|equals|(Ljava/lang/Object;)Z|||1
HE_EQUALS_NO_HASHCODE|2|com.googlecode.cqengine.query.simple.Equal|equals|(Ljava/lang/Object;)Z|||1
HE_EQUALS_NO_HASHCODE|2|com.googlecode.cqengine.query.simple.ExistsIn|equals|(Ljava/lang/Object;)Z|||1
HE_EQUALS_NO_HASHCODE|2|com.googlecode.cqengine.query.simple.GreaterThan|equals|(Ljava/lang/Object;)Z|||1
HE_EQUALS_NO_HASHCODE|2|com.googlecode.cqengine.query.simple.In|equals|(Ljava/lang/Object;)Z|||1
HE_EQUALS_NO_HASHCODE|2|com.googlecode.cqengine.query.simple.LessThan|equals|(Ljava/lang/Object;)Z|||1
HE_EQUALS_NO_HASHCODE|2|com.googlecode.cqengine.query.simple.None|equals|(Ljava/lang/Object;)Z|||1
HE_EQUALS_NO_HASHCODE|2|com.googlecode.cqengine.query.simple.StringContains|equals|(Ljava/lang/Object;)Z|||1
HE_EQUALS_NO_HASHCODE|2|com.googlecode.cqengine.query.simple.StringEndsWith|equals|(Ljava/lang/Object;)Z|||1
HE_EQUALS_NO_HASHCODE|2|com.googlecode.cqengine.query.simple.StringIsContainedIn|equals|(Ljava/lang/Object;)Z|||1
HE_EQUALS_NO_HASHCODE|2|com.googlecode.cqengine.query.simple.StringIsPrefixOf|equals|(Ljava/lang/Object;)Z|||1
